sale_id,date,month,month_name,day_of_week,is_weekend,is_festival_month,festival_name,temperature_celsius,locality,store_type,brand,chocolate_type,unit_price_inr,discount_percent,price_after_discount,quantity_sold,total_revenue_inr,customer_segment,purchase_occasion,payment_mode,customer_satisfaction
SAL00001,2024-11-23,11,November,Saturday,1,1,Diwali,25.4,Vijayanagar Colony,Bakery,Munch,Wafer,5,10,4.5,10,45.0,Working Professional,Office Treat,UPI,1
SAL00002,2024-02-17,2,February,Saturday,1,0,None,27.9,Jaganatha Pura,Medical + General,Dairy Milk,Milk,20,20,16.0,5,80.0,Tourist,Birthday,Cash,5
SAL00003,2024-03-22,3,March,Friday,0,0,None,33.8,Navalagund Circle,Bakery,5 Star,Caramel,10,0,10.0,3,30.0,Homemaker,Regular Purchase,Card,5
SAL00004,2024-11-05,11,November,Tuesday,0,1,Diwali,26.1,Gandhi Nagar,Petrol Bunk Shop,Temptation,Milk,80,10,72.0,10,720.0,Business Owner,Regular Purchase,UPI,4
SAL00005,2024-01-24,1,January,Wednesday,0,1,Sankranti,26.6,Hospet Road,Kirana Store,Munch,Wafer,5,0,5.0,12,60.0,Business Owner,Festival,Card,4
SAL00006,2024-12-09,12,December,Monday,0,1,Christmas,24.1,Kuvempu Nagar,Petrol Bunk Shop,KitKat,Wafer,50,5,47.5,7,332.5,Working Professional,Self Reward,Card,5
SAL00007,2024-11-23,11,November,Saturday,1,1,Diwali,27.8,Kudligi Road,Petrol Bunk Shop,Milkybar,White,10,0,10.0,9,90.0,Working Professional,Regular Purchase,Cash,5
SAL00008,2024-06-10,6,June,Monday,0,0,None,33.9,Bellary Fort Area,Sweet Shop,Temptation,Milk,80,10,72.0,11,792.0,Homemaker,Gifting,UPI,4
SAL00009,2024-03-11,3,March,Monday,0,0,None,33.0,Cantonment,Kirana Store,KitKat,Wafer,10,5,9.5,3,28.5,Working Professional,Office Treat,UPI,4
SAL00010,2024-08-27,8,August,Tuesday,0,1,Friendship Day,30.1,Jaganatha Pura,Kirana Store,KitKat,Wafer,50,5,47.5,6,285.0,Tourist,Festival,UPI,4
SAL00011,2024-05-14,5,May,Tuesday,0,0,None,41.9,Santhepet,Medical + General,KitKat,Wafer,50,0,50.0,3,150.0,Homemaker,Office Treat,Card,5
SAL00012,2024-10-03,10,October,Thursday,0,1,Dasara,30.8,Jaganatha Pura,Kirana Store,Amul Dark,Dark,99,0,99.0,6,594.0,Business Owner,Regular Purchase,Cash,3
SAL00013,2024-10-17,10,October,Thursday,0,1,Dasara,30.8,Cantonment,Petrol Bunk Shop,Temptation,Milk,80,0,80.0,19,1520.0,Tourist,Gifting,Cash,5
SAL00014,2024-08-04,8,August,Sunday,1,1,Friendship Day,31.9,Jaganatha Pura,Petrol Bunk Shop,Munch,Wafer,20,0,20.0,13,260.0,Homemaker,Birthday,UPI,3
SAL00015,2024-06-22,6,June,Saturday,1,0,None,33.1,Jaganatha Pura,Supermarket,Amul Dark,Dark,55,0,55.0,1,55.0,Student,Regular Purchase,Card,2
SAL00016,2024-05-01,5,May,Wednesday,0,0,None,39.1,Bellary Fort Area,Supermarket,Éclairs,Toffee,1,20,0.8,2,1.6,Tourist,Self Reward,UPI,5
SAL00017,2024-04-07,4,April,Sunday,1,1,Ugadi,35.4,Kuvempu Nagar,Sweet Shop,Milkybar,White,20,0,20.0,10,200.0,Business Owner,Birthday,UPI,4
SAL00018,2024-02-25,2,February,Sunday,1,0,None,28.0,Kudligi Road,Medical + General,Temptation,Milk,80,5,76.0,10,760.0,Business Owner,Gifting,Cash,2
SAL00019,2024-11-29,11,November,Friday,0,1,Diwali,29.0,Gandhi Nagar,Kirana Store,Munch,Wafer,5,0,5.0,9,45.0,Business Owner,Birthday,UPI,4
SAL00020,2024-07-18,7,July,Thursday,0,0,None,30.1,Bellary Fort Area,Bakery,Bournville,Dark,180,0,180.0,4,720.0,Tourist,Office Treat,Card,3
